deputado,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Newton Cardoso Jr,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,5,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Nilson Leitão,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Nilson Pinto,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,5,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Nilto Tatto,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,5,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,3      ,3      ,3      ,0            
Nilton Capixaba,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Nivaldo Albuquerque,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,5,0            ,0            ,1            ,0            ,0            ,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Odelmo Leão,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Odorico Monteiro,5,5,5,5,5,5,0            ,5,0            ,0            ,1            ,1            ,0            ,1            ,1            ,1            ,0            ,1            ,0            ,5,5,0            ,0            ,1            ,0            ,0            ,5,0            ,0            ,0            ,0            ,0            ,0            
Onyx Lorenzoni,1            ,5,5,5,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,5,5,5,5,5,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Orlando Silva,3      ,5,5,5,5,5,3      ,3      ,3      ,0            ,3      ,1            ,5,5,5,5,5,5,3      ,3      ,3      ,3      ,3      ,5,1            ,0            ,5,5,5,0            ,3      ,3      ,5
